cuisine,recepies,ingredients
Indian,Leftover Dal Paratha Recipe,"['arhar', ' whole wheat flour', ' red chilli powder', ' salt', ' curd dahi yogurt', ' coriander', ' onions', ' ghee oil']"
Continental,Carrot Cake Parfait With Custard And Strawberries Recipe,"['sugar granulated', ' brown sugar demerara sugar', ' sunflower oil', ' eggs', ' all purpose flour', ' wheat flour', ' cinnamon powder', ' baking soda', ' vanilla extract', ' salt', ' carrots', ' raisins', ' walnuts', ' badam almond', ' milk', ' powder vanilla flavoured', ' sugar', ' strawberries', ' sugar', ' lemon juice', ' strawberries', ' walnuts', ' cinnamon powder']"
Continental,Herbed Vegetables In Roasted Bell Pepper Sauce Recipe,"['extra virgin olive oil', ' carrots', ' zucchini', ' corn', ' herbs', ' red bell pepper capsicum', ' pickled jalapenos', ' black pepper corns', ' salt', ' extra virgin olive oil', ' garlic', ' tomato puree', ' cream']"
South Indian Recipes,Prawns Coconut Curry Recipe,"['prawns prawns', ' coconut milk', ' coconut milk', ' fennel seeds', ' black pepper powder', ' coriander powder', ' red chilli powder', ' turmeric powder', ' green chilli', ' curry leaves', ' coriander', ' tamarind paste', ' ginger', ' garlic', ' tomatoes', ' onion', ' mustard seeds', ' salt', ' coconut oil']"
South Indian Recipes,Pudina Khara Pongal Recipe - Pudina Khara Pongal Recipe,"['rice soaked', ' yellow moong dal', ' mint', ' coriander', ' green chili', ' ginger', ' cumin seeds', ' water', ' oil', ' salt', ' ghee', ' cashews', ' cumin seeds', ' pepper', ' curry leaves']"
North Indian Recipes,Tandoori Paneer Tikka Masala Recipe - Tandoori Paneer Tikka Masala (Recipe in Hindi),"['paneer', ' tomato puree', ' cream heavy', ' mint', ' bud garlic', ' ginger', ' fennel', ' celery', ' saffron', ' cumin powder', ' coriander powder', ' chaat masala', ' garam masala powder', ' black pepper powder', ' red chilli powder', ' black salt', ' turmeric powder', ' salt', ' salt']"
Continental,Mushroom and Broccoli Soup Recipe - Mushroom and Broccoli Soup Recipe,"['broccoli chop', ' chop', ' cumin steal', ' pepper', ' salt', ' cream', ' coriander', ' oil']"
Indian,Red Lentil Curry Without Coconut Recipe,"['whole', ' tomatoes', ' onion', ' garlic', ' ginger', ' green chillies', ' fenugreek leaves', ' sunflower oil', ' red chilli powder', ' salt', ' turmeric powder', ' garam masala powder', ' coriander powder', ' cumin powder']"
North Indian Recipes,Aloo Gobi Sabzi Recipe - Potato And Cauliflower Dry Curry,"['cauliflower gobi', ' aloo', ' curry leaves', ' coriander powder', ' garam masala powder', ' red chilli powder', ' turmeric powder', ' asafoetida hing', ' salt', ' sunflower oil', ' kasuri methi dried fenugreek', ' lemon wedges']"
Indian,Semia Pudding Recipe - Vermicelli Kheer Recipe,"['milk', ' vermicelli roasted', ' water', ' sugar', ' cashew nuts', ' raisins', ' cardamom powder', ' saffron strands', ' ghee']"
North Indian Recipes,No Onion No Garlic Lauki Paneer Kofta Curry Recipe,"['bottle', ' paneer cottage cheese', ' turmeric powder haldi', ' garam masala powder', ' rajgira flour amaranth flour', ' salt salt', ' tomatoes cubed', ' green chillies', ' bay leaf', ' cinnamon', ' cardamom', ' turmeric powder', ' coriander powder', ' curd dahi yogurt', ' salt salt', ' coriander', ' sunflower oil']"
South Indian Recipes,Ulundagorai - Spicy Urad Dal Flavored Rice (For Prashad & Naivedyam) Recipe,"['rice', ' salt', ' sunflower oil', ' black peppercorns', ' black urad', ' red chilli', ' asafoetida hing', ' black pepper powder', ' sunflower oil', ' white urad', ' mustard seeds', ' cashew nuts', ' curry leaves', ' ghee']"
Continental,Creamy Radish Soup Recipe With Sweet Potato,"['baby radish', ' potatoes', ' onion', ' fennel seeds', ' carom seeds', ' black pepper powder', ' bay', ' vegetable stock', ' sunflower oil', ' salt', ' curd yogurt', ' coriander', ' radish']"
Continental,Crispy Chicken Nuggets Recipe - KFC Style,"['chicken', ' buttermilk', ' salt', ' black pepper powder', ' all purpose flour', ' eggs', ' wheat bread crumbs', ' corn flakes', ' oregano', ' black pepper powder', ' salt', ' garlic powder', ' onion powder', ' paprika powder', ' sunflower oil']"
Indian,Sour Pumpkin Vegetable Recipe - Tangy Tamarind Pumpkin Curry (Recipe In Hindi),"['pumpkin', ' oil', ' mustard', ' cumin seeds', ' ginger', ' garlic', ' green chillies', ' onion', ' curry leaves', ' red chilli powder', ' turmeric powder turmeric powder', ' coriander powder', ' salt', ' water', ' tamarind paste', ' jaggery']"
Continental,Sweet Chili & Orange Chicken Recipe,"['chicken breasts', ' onion', ' garlic', ' salt', ' sunflower oil', ' orange juice', ' red chilli sauce', ' corn flour', ' black pepper powder']"
Italian Recipes,Focaccia Bread with Sweet Onion and Capers Recipe,"['wheat flour', ' dry yeast', ' sugar', ' extra virgin olive oil', ' milk warmed', ' salt', ' onion', ' capers', ' thyme leaves', ' oregano']"
Continental,Eggless Rich Chocolate Brownies Recipe,"['dark chocolate', ' butter unsalted', ' brown demerara sugar', ' vanilla extract', ' all flour', ' cocoa powder', ' baking powder', ' salt', ' walnuts', ' flax seed flax', ' water']"
Continental,Avocado Cheese Chilli Toast Recipe,"['brown bread', ' butter', ' classic mayonnaise', ' black pepper powder', ' tomatoes', ' avocado', ' cheese', ' red chilli flakes']"
Indian,Indian Spiced Brussel Sprouts Sabzi Recipe (Brussel Sprouts Stir Fry),"['brussel', ' onion', ' red bell pepper capsicum', ' tomato puree', ' sunflower oil', ' mustard seeds', ' cumin seeds', ' cumin powder', ' coriander powder', ' red chilli powder', ' turmeric powder', ' garam masala powder', ' bay leaf', ' ginger', ' garlic', ' salt', ' coriander']"
Continental,Pomegranate Sauce Recipe,"['pomegranate juice', ' powder pomegranate seed powder', ' red wine', ' butter unsalted', ' garlic', ' black peppercorns', ' jaggery', ' salt', ' rosemary']"
Italian Recipes,Polenta Pizza With Vegetables Recipe,"[' milk', ' water', ' black peppercorns', ' extra virgin olive oil', ' salt', ' pizza and pasta sauce', ' red yellow and green bell', ' mushrooms', ' herbs dried', ' onions', ' cheese']"
South Indian Recipes,Baby Corn and Green Peas Sabzi Recipe,"['corn', ' green peas', ' onion', ' green chillies', ' ginger', ' mustard seeds', ' asafoetida', ' turmeric powder haldi', ' cumin seeds roasted', ' red chilli powder', ' garam masala powder', ' salt', ' sunflower oil', ' curry leaves', ' coriander']"
Indian,Veg Tunday Kabab Recipe,"['paneer cheese', ' curd', ' onion', ' garlic', ' ginger', ' green chilli', ' bay leaf', ' kalonji onion nigella seeds', ' cumin seeds', ' coriander dhania seeds', ' turmeric powder haldi', ' black pepper powder', ' cloves', ' cardamom', ' cinnamon stick', ' yellow mustard seeds and', ' sesame seeds til', ' seeds fenugreek seeds', ' fennel seeds', ' dry mango powder', ' red chilli powder', ' star anise', ' powder pomegranate seed', ' black salt kala', ' saffron strands', ' sunflower oil', ' salt']"
North Indian Recipes,Crispy Balak Pagora Recipe - Made in the pit paniyaram pan,"['flour', ' rice flour', ' spinach', ' onion', ' chilli', ' garlic', ' ginger', ' fennel seeds', ' enos fruit salt', ' asafoetida', ' salt', ' sunflower oil', ' chaat masala']"
North Indian Recipes,Dahi Wale Aloo (Recipe),"['potatoes', ' curd', ' flour', ' asafoetida', ' cumin seeds', ' curry leaves', ' onion', ' ginger', ' garlic', ' green chillies', ' red chilli powder', ' coriander powder', ' turmeric powder', ' salt', ' oil', ' coriander']"
South Indian Recipes, Karamani Poriyal (Recipe In Hindi),"['cowpea', ' coconut', ' turmeric powder', ' mustard', ' white', ' asafoetida', ' oil', ' curry salt', ' salt']"
South Indian Recipes,Sorakkai Puli Kuzhambu Recipe - Tangy Bottle Gourd Curry,"['gourd', ' shallots', ' drumstick', ' tomato', ' garlic', ' ginger', ' tamarind water', ' sambar powder', ' salt', ' sesame', ' mustard seeds', ' seeds fenugreek seeds', ' curry leaves']"
North Indian Recipes,Vegan Navratan Korma Recipe,"['carrots', ' green beans', ' cabbage cut', ' potatoes boil', ' tofu cut', ' onions', ' green chilies', ' ginger garlic paste', ' turmeric powder', ' red chilli powder', ' cardamom powder', ' cardamom', ' ginger', ' coconut curd', ' coconut milk', ' mint', ' saffron', ' silver work', ' pineapple', ' cashew nuts', ' almond', ' pistachios thin', ' masala powder', ' coconut oil', ' poppy seeds', ' cashew nuts', ' almonds']"
Indian,Coriander Garlic Baked Chicken Recipe,"['chicken legs', ' onion', ' coriander dhania', ' green chillies', ' ginger', ' garlic', ' cumin seeds', ' salt', ' sunflower oil', ' vegetables onion']"
Continental,Coconut French Toast with Chocolate Chips Recipe,"['milk', ' cream', ' eggs', ' vanilla extract', ' nutmeg powder', ' salt', ' sugar', ' coconut', ' butter', ' brown bread', ' maple syrup chocolate syrup']"
Continental,Gingerbread Pancake Recipe,"['wheat flour', ' baking powder', ' cinnamon powder', ' ginger powder', ' powder', ' nutmeg powder', ' eggs', ' butter melted', ' milk', ' brown sugar demerara sugar', ' maple syrup']"
Indian,Peanut Curry Recipe,"['peanuts', ' coconut', ' green chillies', ' red chili powder', ' jaggery', ' kokum', ' curry leaves', ' ghee', ' cumin', ' water', ' salt']"
Italian Recipes,Red Chilli Pesto & Roasted Tomato Spaghetti Pasta Recipe,"['red chillies', ' pine nuts', ' parmesan cheese', ' cumin powder', ' garlic', ' basil leaves', ' tomatoes tomatoes', ' extra virgin olive oil', ' salt', ' spaghetti']"
North Indian Recipes,Minced Meat And Egg Croquettes Recipe,"['mutton', ' eggs', ' onion', ' ginger garlic paste', ' red chilli powder', ' turmeric powder', ' cumin powder', ' coriander powder', ' salt salt', ' sunflower oil', ' water', ' all purpose flour', ' eggs', ' wheat bread crumbs', ' sunflower oil']"
North Indian Recipes,Khatti Meethi Mirchi Ki Sabzi Recipe,"['green chillies', ' asafoetida hing', ' chilled water', ' red chilli powder', ' turmeric powder haldi', ' dry mango powder', ' coriander powder', ' garam masala powder', ' lemon juice', ' raw peanuts', ' salt', ' sunflower oil', ' coriander']"
Continental,Avocado Mint Soup Recipe - Avocado Mint Soup Recipe,"['avocados', ' garlic chop', ' ginger chop', ' onion chop', ' mint', ' olive oil', ' water', ' cayenne']"
Italian Recipes,Cold Pasta Salad With Potatoes And Green Peas Recipe,"['penne pasta', ' baby potatoes', ' green peas', ' classic mayonnaise', ' black pepper powder', ' lettuce', ' lemon juiced', ' salt', ' italian seasoning']"
Continental,Chocolate Toast Recipe Topped With Pumpkin & Sunflower Seeds,"['brown bread', ' butter softened', ' pumpkin seeds', ' sunflower seeds', ' sesame seeds seeds', ' flax seeds', ' chocolate', ' cream', ' vanilla extract']"
Continental,Spinach and Dill Tart With Roasted Peppers Recipe,"['bell pepper capsicum', ' garlic', ' spinach', ' dill', ' britannia cheese garlic', ' all purpose flour', ' salt', ' sugar', ' butter', ' water']"
North Indian Recipes,Besan methi paratha recipe,"['sunflower oil', ' flour', ' asafoetida hing', ' carom seeds', ' cumin seeds', ' red chilli powder', ' coriander powder', ' cumin powder', ' dry mango powder', ' garam masala powder', ' salt', ' leaves fenugreek', ' wheat flour', ' water', ' salt', ' ghee']"
Indian,Palak Kichadi Recipe,"['rice', ' pink', ' spinach leaves', ' garlic', ' onion', ' green peas', ' broccoli florets', ' tofu diced', ' cinnamon stick', ' cumin seeds', ' bay leaf', ' green chillies', ' garlic', ' turmeric powder haldi', ' asafoetida', ' garam masala powder', ' tomato', ' ghee oil']"
North Indian Recipes,Paneer Onion Paratha Recipe,"['wheat flour', ' water', ' sunflower oil', ' wheat flour', ' salt', ' cottage cheese', ' onion', ' green chillies', ' coriander', ' coriander powder', ' red chilli powder', ' garam masala powder', ' chaat masala powder', ' salt', ' ghee']"
Indian,Spicy Coconut Peanut Stuffed Baby Brinjal Recipe,"['brinjal', ' mustard oil', ' mustard seeds', ' garlic', ' salt', ' peanuts', ' tomato puree', ' coconut', ' cumin seeds', ' coriander powder', ' garam masala powder', ' salt', ' red chilli powder', ' sesame seeds', ' coriander']"
Italian Recipes,Zoodles In Tomato And Cashew Cream Sauce Recipe (Vegan),"['green zucchini', ' onion', ' garlic', ' tomatoes pureed', ' cashew nuts', ' basil leaves', ' oregano', ' white pepper powder', ' extra virgin olive oil', ' salt']"
Indian,Lemon Chicken Chicken Recipe - Chicken with Gandharaja Lemon & Green Chili,"['chicken', ' curd dahi yogurt', ' lime leaves', ' lebu lemon', ' lebu juice', ' onion puree', ' ginger juice', ' green chilli paste', ' ginger', ' garlic', ' green chilli slit', ' black peppercorns', ' black pepper powder', ' mustard oil', ' honey', ' salt']"
Continental,Spinach Egg Muffins Recipe,"['eggs', ' onion', ' spinach leaves', ' salt', ' black pepper powder', ' tomato', ' garlic', ' sunflower oil']"
Indian,Butter Coriander & Lemon Sweet Corn Recipe,"['sweet corn steamed', ' coriander dhania', ' butter', ' salt', ' chilli', ' chaat masala powder', ' red chilli powder', ' lemon juiced']"
Indian,Baked Chana Dal Vada Recipe - Baked Chana Dal Vada Recipe,"['chana dal soaked', ' fennel', ' cumin seeds', ' green chillies', ' curry leaves', ' onion', ' green coriander', ' ginger', ' garlic', ' salt', ' oil', ' baking soda']"
North Indian Recipes,Achari Amla Mirchi Vegetable Recipe - Gooseberry & Green Chilli Vegetable,"['amla', ' green chilli', ' achari masala', ' red chilli powder', ' turmeric powder', ' jaggery', ' salt', ' fennel seeds', ' seeds fenugreek seeds', ' mustard seeds', ' sunflower oil', ' asafoetida']"
Indian,Kimami Sewai Recipe,"['vermicelli', ' khoya mawa', ' sugar', ' milk', ' water', ' ghee', ' cardamom powder', ' phool makhana', ' badam almond slivered', ' cashews slivered', ' raisins', ' dry coconut']"
Indian, Chammanthi Chutney Recipe,"['coconut', ' ginger', ' onion', ' curry leaves', ' asafoetida', ' mustard', ' red chillies', ' oil', ' salt']"
Indian,Red Beans And Oats Cutlet Recipe,"['large kidney beans', ' soy granules', ' oats oatmeal', ' onion', ' ginger', ' garlic', ' salt', ' cumin powder', ' red chilli powder', ' coriander', ' sunflower oil']"
Continental,Chilli Chocolate Cookies Recipe,"['all purpose flour', ' cocoa powder', ' chocolate', ' butter', ' eggs', ' red chilli powder', ' baking soda', ' sugar demerara sugar', ' sugar', ' vanilla extract', ' salt', ' chocolate chips', ' chocolate bar']"
North Indian Recipes,Aloo Subz Dum Biryani Recipe,"['aloo peeled', ' onion', ' carrot', ' green beans french beans', ' del monte whole', ' tomato', ' cloves', ' cinnamon stick', ' red chilli powder', ' turmeric powder', ' green chilli', ' curd dahi yogurt', ' garam masala powder', ' ginger garlic paste', ' salt', ' ghee', ' basmati rice', ' cloves', ' cardamom', ' cinnamon stick', ' ginger garlic paste', ' salt', ' coriander dhania', ' lemon juice', ' garam masala powder', ' saffron milk', ' onions', ' ghee']"
North Indian Recipes,Tomato Poha With Peas Recipe,"['poha rice', ' green peas', ' onion', ' tomatoes', ' chilli', ' garlic roughly', ' fennel seeds', ' mustard seeds', ' asafoetida hing', ' turmeric powder', ' red chilli powder', ' coriander powder', ' curry leaves', ' coriander dhania', ' sunflower oil', ' lemon juice', ' salt']"
Indian,Methi Sprouts Salad Recipe - Healthy & Tasty Diabetic Snack,"['fenugreek seeds sprouts', ' peanuts', ' onion', ' tomato', ' coriander', ' salt', ' black pepper powder', ' lemon juice', ' chaat masala powder']"
North Indian Recipes,Sprouted Moong Chaat Recipe,"['sunflower oil', ' mustard seeds', ' cumin seeds', ' ginger', ' green chillies', ' turmeric powder haldi', ' curry leaves', ' green moong sprouts', ' mint leaves pudina salt', ' coriander dhania juice', ' coriander', ' mint leaves', ' chilli', ' ginger chopped', ' garlic', ' badam almond', ' lemon juice', ' jaggery', ' salt', ' onion', ' tomato', ' pomegranate fruit kernels', ' coriander', ' chaat masala']"
South Indian Recipes,Egg Dosa Recipe,"['rice', ' white urad', ' chana dal', ' seeds fenugreek seeds', ' oats oatmeal', ' salt', ' water required', ' eggs', ' onion', ' coriander dhania', ' green chillies', ' sunflower oil']"
North Indian Recipes,Mixed Vegetable Handi Recipe,"['sunflower oil', ' cumin seeds', ' bay leaves', ' onion', ' ginger', ' garlic', ' green chilli', ' tomatoes', ' cashew nuts', ' red chilli powder', ' turmeric powder', ' garam masala powder', ' coriander powder', ' butter', ' salt', ' carrots', ' sweet corn', ' green peas', ' green beans french beans', ' green bell pepper capsicum', ' cauliflower gobi', ' mushrooms', ' homemade cottage cheese', ' water', ' curd dahi yogurt', ' cream', ' fenugreek leaves', ' coriander', ' mint leaves', ' lemon juice']"
